close,high,low,open,timestamp,volume
16617,16631,16609,16629,1668848400,99.75231301
16624,16624,16607,16617,1668852000,44.01219155
16653,16654,16624,16624,1668855600,50.92413798
16636,16658,16630,16654,1668859200,21.45989396
16632,16638,16621,16637,1668862800,75.87716893
16632,16646,16630,16633,1668866400,55.26647593
16645,16656,16633,16635,1668870000,31.98678498
16641,16649,16631,16644,1668873600,39.05374146
16597,16643,16594,16640,1668877200,55.93164888
16612,16624,16595,16597,1668880800,38.16663524
16611,16622,16607,16611,1668884400,26.77893468
16620,16630,16610,16615,1668888000,45.21613797
16660,16660,16619,16619,1668891600,43.52390436
16724,16799,16660,16660,1668895200,143.34841622
16690,16755,16678,16726,1668898800,106.97903095
16705,16718,16676,16687,1668902400,54.03526406
16669,16730,16662,16708,1668906000,71.87526552
16670,16690,16658,16670,1668909600,36.02065231
16661,16676,16647,16669,1668913200,40.25276361
16666,16678,16656,16661,1668916800,26.92119303
16668,16678,16652,16666,1668920400,22.15404297
16669,16675,16656,16668,1668924000,20.78405467
16703,16713,16667,16669,1668927600,32.90504398
16584,16712,16550,16711,1668931200,137.96006349
16612,16616,16575,16592,1668934800,53.03644719
16609,16650,16584,16609,1668938400,63.34087298
16503,16610,16449,16607,1668942000,170.44172513
16501,16548,16447,16501,1668945600,159.25847508
16565,16571,16495,16499,1668949200,71.47207803
16533,16569,16526,16563,1668952800,40.01279741
16560,16590,16519,16532,1668956400,68.13239911
16563,16568,16540,16561,1668960000,27.50671211
16532,16563,16517,16563,1668963600,36.94275564
16562,16562,16519,16519,1668967200,33.92707719
16567,16580,16537,16562,1668970800,38.25584428
16511,16572,16439,16569,1668974400,104.95679341
16247,16512,16208,16512,1668978000,223.64925543
16274,16326,16169,16249,1668981600,196.75721069
16256,16292,16208,16276,1668985200,96.45797829
16240,16263,16106,16250,1668988800,156.90506245
16189,16249,16171,16239,1668992400,57.76511266
15985,16182,15900,16182,1668996000,346.80833411
16041,16061,15879,15978,1668999600,200.11440508
16119,16269,16041,16044,1669003200,286.02462501
16196,16201,16114,16133,1669006800,137.21981489
16067,16216,16059,16197,1669010400,132.82153618
16001,16118,15950,16062,1669014000,133.15240162
16008,16042,15981,16003,1669017600,121.05372863
16089,16110,15954,16022,1669021200,243.32825843
16108,16120,16034,16089,1669024800,168.34020261
16058,16121,16036,16103,1669028400,86.50103700
16086,16101,16008,16061,1669032000,165.62532975
16155,16250,16080,16087,1669035600,233.29099975
16146,16230,16130,16153,1669039200,301.96301293
16100,16150,16090,16146,1669042800,407.03927532
16017,16117,15902,16099,1669046400,259.14450997
15996,16050,15969,16011,1669050000,122.27228504
15954,16007,15916,15995,1669053600,180.26163209
