close,high,low,open,timestamp,volume
16086,16105,16081,16099,1668848400,6.15307716
16098,16102,16081,16090,1668852000,5.45500836
16123,16133,16095,16098,1668855600,4.54949774
16109,16135,16099,16123,1668859200,5.86471944
16108,16116,16096,16110,1668862800,3.39383703
16101,16119,16095,16108,1668866400,13.00610135
16111,16128,16100,16103,1668870000,4.66352632
16113,16118,16099,16108,1668873600,5.56321273
16070,16115,16064,16109,1668877200,6.45169075
16087,16097,16063,16064,1668880800,3.80190939
16087,16096,16079,16086,1668884400,3.06202153
16095,16103,16082,16082,1668888000,2.63342162
16137,16137,16089,16094,1668891600,4.25969218
16193,16265,16136,16136,1668895200,16.28708819
16156,16224,16151,16194,1668898800,3.00778092
16178,16189,16146,16152,1668902400,35.07695100
16155,16202,16148,16176,1668906000,77.93180439
16153,16173,16143,16156,1668909600,2.04565657
16144,16157,16137,16150,1668913200,2.14262907
16148,16155,16137,16143,1668916800,2.16103933
16149,16161,16135,16144,1668920400,1.50626890
16152,16158,16139,16147,1668924000,1.65854632
16190,16198,16151,16152,1668927600,4.04874272
16083,16200,16040,16190,1668931200,12.76069254
16093,16102,16060,16081,1668934800,4.61501995
16093,16132,16064,16093,1668938400,6.32103956
15982,16093,15936,16093,1668942000,18.76694332
15980,16025,15926,15982,1668945600,10.98598826
16041,16045,15972,15976,1668949200,9.33016953
16004,16041,15995,16032,1668952800,8.43302241
16031,16054,15989,16004,1668956400,13.02383243
16030,16038,15997,16032,1668960000,6.59585508
15987,16025,15985,16024,1668963600,5.84742391
16034,16034,15980,15990,1668967200,11.44163443
16028,16051,16002,16030,1668970800,10.58975714
15983,16043,15932,16038,1668974400,12.23552796
15735,15999,15676,15983,1668978000,35.46339831
15763,15817,15664,15729,1668981600,36.43316675
15736,15775,15690,15765,1668985200,8.71481835
15752,15768,15611,15730,1668988800,5.50616818
15695,15771,15695,15752,1668992400,13.32832276
15557,15707,15455,15696,1668996000,22.55848441
15598,15619,15442,15539,1668999600,11.76452974
15684,15826,15592,15598,1669003200,4.86892653
15748,15756,15678,15702,1669006800,112.71223199
15650,15769,15650,15748,1669010400,10.39408583
15579,15685,15500,15653,1669014000,39.49899870
15546,15598,15500,15581,1669017600,63.86291482
15681,15692,15484,15544,1669021200,125.30331994
15674,15688,15572,15681,1669024800,75.49252098
15647,15693,15636,15673,1669028400,46.35268543
15666,15668,15586,15647,1669032000,40.80073854
15742,15827,15659,15667,1669035600,32.33560313
15739,15826,15703,15745,1669039200,23.89381335
15724,15748,15687,15739,1669042800,22.13503615
15642,15737,15524,15725,1669046400,73.11015426
15630,15688,15600,15642,1669050000,20.33943321
15588,15648,15543,15633,1669053600,21.75465571
15342,15603,15201,15588,1669057200,51.12602048
15396,15499,15330,15334,1669060800,30.91631823
15260,15456,15115,15405,1669064400,59.69532953
15350,15449,15232,15251,1669068000,40.14800409
15380,15458,15336,15352,1669071600,10.78973970
15450,15554,15373,15380,1669075200,20.12305775
15394,15468,15385,15451,1669078800,23.45767920
15454,15471,15344,15391,1669082400,47.92128052
15415,15472,15409,15463,1669086000,11.96776892
15395,15436,15381,15418,1669089600,11.80077639
15374,15448,15360,15392,1669093200,18.55784606
15279,15388,15253,15376,1669096800,10.54624694
15329,15338,15217,15285,1669100400,8.21284705
15282,15329,15235,15329,1669104000,14.30258070
15227,15329,15214,15271,1669107600,57.74130438
15342,15355,15219,15238,1669111200,23.63634009
15317,15347,15239,15342,1669114800,33.81130056
15391,15406,15245,15310,1669118400,39.38917404
15733,15750,15373,15376,1669122000,104.77182432
15670,15772,15615,15729,1669125600,43.29212362
15767,15817,15674,15675,1669129200,83.97600338
15723,15804,15710,15768,1669132800,40.43871683
15613,15753,15591,15725,1669136400,37.52934589
15650,15684,15587,15603,1669140000,27.41885012
15692,15739,15633,15650,1669143600,24.26990510
15648,15709,15648,15700,1669147200,12.12950965
15654,15678,15605,15647,1669150800,13.43613868
15679,15732,15615,15650,1669154400,17.07071499
15715,15730,15657,15670,1669158000,18.00209097
15689,15728,15662,15715,1669161600,4.60549015
15710,15726,15668,15685,1669165200,2.44996630
15963,16000,15706,15707,1669168800,20.70019913
16033,16034,15929,15968,1669172400,33.77571250
15963,16044,15950,16043,1669176000,7.07402775
15911,15969,15900,15967,1669179600,7.88424258
15943,15963,15898,15907,1669183200,23.63707344
15999,16050,15899,15941,1669186800,35.68482273
16001,16048,15947,15995,1669190400,54.68129139
16004,16029,15980,16001,1669194000,62.33670076
16066,16103,16000,16004,1669197600,77.41835063
16021,16096,16019,16066,1669201200,46.96748015
15975,16036,15948,16029,1669204800,17.46249616
15859,15998,15857,15980,1669208400,62.73099944
15884,15924,15821,15860,1669212000,42.05655180
15802,15920,15792,15876,1669215600,23.54700499
15757,15855,15731,15808,1669219200,55.58359337
15818,15831,15759,15773,1669222800,81.34953937
15950,15974,15807,15811,1669226400,14.15523157
15826,16043,15764,15939,1669230000,79.44689609
15951,15952,15795,15826,1669233600,39.68577573
15847,15949,15847,15949,1669237200,10.40825710
15870,15894,15818,15850,1669240800,5.50861189
15947,15993,15851,15855,1669244400,12.14746881
15873,15957,15870,15938,1669248000,16.99912397
16055,16087,15861,15885,1669251600,9.94269099
15984,16103,15972,16063,1669255200,6.72820405
15989,16043,15974,15984,1669258800,2.05750195
15972,16022,15956,15986,1669262400,3.47400293
15931,15972,15929,15972,1669266000,14.03209860
15997,15999,15915,15931,1669269600,6.42817580
15922,16000,15920,15998,1669273200,13.73296294
15921,15944,15862,15929,1669276800,16.69881103
15906,15924,15867,15921,1669280400,30.17866074
15859,15919,15814,15906,1669284000,52.49091210
15885,15914,15862,15862,1669287600,18.81467166
15868,15893,15839,15892,1669291200,24.20228103
15897,15906,15817,15867,1669294800,43.24931665
15843,15896,15769,15896,1669298400,17.34490624
15885,15894,15803,15840,1669302000,12.84387026
15960,15987,15868,15885,1669305600,31.15413291
15923,15986,15914,15954,1669309200,12.85308219
15919,15941,15885,15916,1669312800,10.79080721
15903,15932,15894,15919,1669316400,7.63058724
15886,15922,15882,15902,1669320000,16.77563982
15886,15903,15865,15891,1669323600,8.30608568
15938,15966,15878,15885,1669327200,8.57106384
15941,15957,15899,15940,1669330800,14.37035615
15872,15946,15862,15938,1669334400,3.18074802
15859,15889,15858,15870,1669338000,6.29468308
15852,15860,15809,15859,1669341600,3.16983739
15817,15853,15813,15852,1669345200,2.59604443
15708,15815,15685,15815,1669348800,4.92232449
15698,15740,15697,15704,1669352400,12.76823546
15744,15762,15678,15687,1669356000,9.46564899
15785,15798,15735,15747,1669359600,14.54265917
15759,15812,15724,15785,1669363200,17.66638590
15816,15823,15754,15757,1669366800,48.71408754
15794,15832,15772,15815,1669370400,51.70533175
15862,15896,15785,15794,1669374000,105.98302848
15863,15908,15847,15861,1669377600,36.22229310
15866,15894,15837,15863,1669381200,20.05387412
15901,15907,15831,15873,1669384800,25.87795509
15853,15932,15830,15896,1669388400,17.17142528
15828,15856,15804,15854,1669392000,34.99608895
15851,15870,15814,15825,1669395600,13.36919247
15839,15875,15833,15852,1669399200,18.93760299
15859,15881,15835,15846,1669402800,10.25241390
15868,15938,15851,15859,1669406400,15.88865482
15852,15873,15824,15867,1669410000,6.43579581
15865,15879,15834,15850,1669413600,4.73646592
15859,15908,15850,15870,1669417200,6.90184532
15918,15919,15856,15863,1669420800,2.67427881
15971,16022,15919,15921,1669424400,20.00986999
15969,15995,15962,15982,1669428000,4.73700160
15965,15982,15948,15969,1669431600,2.39841421
15973,15978,15950,15966,1669435200,2.32034620
15969,15991,15965,15975,1669438800,4.90769140
15890,15974,15883,15974,1669442400,9.81537456
15931,15938,15888,15897,1669446000,3.09645442
15917,15943,15915,15930,1669449600,5.33149774
15932,15947,15915,15915,1669453200,5.93269482
15943,15979,15931,15937,1669456800,6.66589547
15929,15953,15910,15948,1669460400,8.30459404
15938,15946,15912,15929,1669464000,8.85073252
15957,15965,15932,15932,1669467600,5.92084730
15915,16020,15899,15952,1669471200,11.87134112
15871,15933,15846,15913,1669474800,9.77693154
15859,15883,15855,15866,1669478400,5.31590268
15878,15882,15854,15859,1669482000,5.92076912
15834,15876,15824,15873,1669485600,3.36960755
15842,15847,15788,15827,1669489200,7.44996208
15855,15864,15841,15842,1669492800,3.58823410
15873,15899,15856,15858,1669496400,4.36516108
15788,15876,15750,15872,1669500000,5.10717493
15823,15847,15780,15789,1669503600,11.30738678
15828,15855,15812,15823,1669507200,3.68224383
15848,15866,15833,15834,1669510800,1.02515247
15887,15887,15847,15847,1669514400,1.18117899
15881,15916,15880,15888,1669518000,22.93986454
15927,15945,15884,15884,1669521600,4.59928352
15894,15927,15893,15916,1669525200,1.10158582
15915,15946,15897,15898,1669528800,5.43720327
15924,15926,15910,15919,1669532400,2.62934541
15888,15933,15881,15923,1669536000,6.36190304
15876,15899,15873,15883,1669539600,8.17669767
15899,15940,15875,15876,1669543200,6.11506528
15908,15914,15889,15903,1669546800,5.28887174
